constructorStandingsId,raceId,constructorId,points,position,positionText,wins
5548,185,6,94.0,1,1,5
5568,186,15,4.0,7,7,0
5565,186,1,106.0,1,1,6
5561,186,3,24.0,4,4,0
5559,186,6,97.0,2,2,5
5579,187,15,4.0,7,7,0
5576,187,1,108.0,1,1,6
5572,187,3,30.0,4,4,0
5570,187,6,102.0,2,2,5
5590,188,15,4.0,8,8,0
5587,188,1,110.0,1,1,6
5583,188,3,33.0,4,4,0
5581,188,6,102.0,2,2,5
5601,189,15,4.0,8,8,0
5598,189,1,114.0,2,2,6
5594,189,3,33.0,5,5,0
5592,189,6,118.0,1,1,6
5612,190,15,5.0,8,8,0
5609,190,1,124.0,2,2,7
5605,190,3,35.0,5,5,0
5603,190,6,128.0,1,1,6
2055,191,1,16.0,1,1,1
2056,191,3,6.0,2,2,0
2057,191,6,3.0,3,3,0
2058,191,15,1.0,4,4,0
2062,192,1,32.0,1,1,2
2063,192,3,8.0,2,2,0
2064,192,6,7.0,3,3,0
2065,192,15,1.0,5,5,0
2070,193,1,39.0,1,1,2
2071,193,3,8.0,3,3,0
2072,193,6,21.0,2,2,1
2073,193,15,3.0,5,5,0
2080,194,1,49.0,1,1,3
2081,194,3,13.0,3,3,0
2082,194,6,31.0,2,2,1
2083,194,15,4.0,5,5,0
2091,195,1,65.0,1,1,4
2092,195,3,14.0,3,3,0
2093,195,6,35.0,2,2,1
2094,195,15,4.0,5,5,0
2102,196,1,75.0,1,1,5
2103,196,3,16.0,4,4,0
2104,196,6,39.0,2,2,1
2105,196,15,4.0,6,6,0
2113,197,1,75.0,1,1,5
2114,197,3,16.0,4,4,0
2115,197,6,53.0,2,2,2
2116,197,15,4.0,7,7,0
2124,198,1,80.0,1,1,5
2125,198,3,19.0,4,4,0
2126,198,6,69.0,2,2,3
2127,198,15,4.0,7,7,0
2135,199,1,86.0,1,1,5
2136,199,3,19.0,4,4,0
2137,199,6,83.0,2,2,4
2138,199,15,4.0,7,7,0
2146,200,1,102.0,1,1,6
2147,200,3,20.0,4,4,0
2148,200,6,90.0,2,2,4
2149,200,15,4.0,7,7,0
2157,201,1,118.0,1,1,7
2158,201,3,24.0,4,4,0
2159,201,6,92.0,2,2,4
2160,201,15,4.0,8,8,0
2168,202,1,125.0,1,1,7
2169,202,3,30.0,4,4,0
2170,202,6,102.0,2,2,5
2171,202,15,4.0,8,8,0
2179,203,1,125.0,1,1,7
2180,203,3,33.0,3,3,0
2181,203,6,102.0,2,2,5
2182,203,15,8.0,6,6,0
2190,204,1,128.0,1,1,7
2191,204,3,33.0,3,3,0
2192,204,6,118.0,2,2,6
2193,204,15,10.0,6,6,0
2201,205,1,142.0,1,1,8
2202,205,3,35.0,3,3,0
2203,205,6,127.0,2,2,6
2204,205,15,10.0,6,6,0
2212,206,1,156.0,1,1,9
2213,206,3,38.0,3,3,0
2214,206,6,133.0,2,2,6
2215,206,15,10.0,6,6,0
5255,207,3,0.0,6,6,0
5254,207,15,1.0,5,5,0
5251,207,6,6.0,2,2,0
5250,207,1,14.0,1,1,1
5263,208,3,10.0,2,2,1
5262,208,15,1.0,6,6,0
5259,208,6,8.0,4,4,0
5258,208,1,17.0,1,1,1
5273,209,3,20.0,1,1,2
5272,209,15,4.0,7,7,0
5269,209,6,14.0,3,3,0
5268,209,1,19.0,2,2,1
5284,210,3,30.0,1,1,3
5283,210,15,4.0,7,7,0
5280,210,6,24.0,2,2,0
5279,210,1,20.0,3,3,1
5295,211,3,30.0,2,2,3
5294,211,15,4.0,8,8,0
5291,211,6,38.0,1,1,1
5290,211,1,20.0,3,3,1
25360,212,3,40.0,2,2,4
25359,212,15,6.0,8,8,0
25356,212,6,41.0,1,1,1
25355,212,1,21.0,3,3,1
25372,213,3,43.0,2,2,4
25371,213,15,8.0,7,7,0
25368,213,6,51.0,1,1,2
25367,213,1,21.0,4,4,1
25384,214,3,52.0,2,2,4
25383,214,15,8.0,7,7,0
25380,214,6,65.0,1,1,3
25379,214,1,21.0,4,4,1
25396,215,3,62.0,2,2,5
25395,215,15,8.0,7,7,0
25392,215,6,65.0,1,1,3
25391,215,1,24.0,4,4,1
25408,216,3,62.0,2,2,5
25407,216,15,8.0,7,7,0
25404,216,6,71.0,1,1,3
25403,216,1,28.0,4,4,1
25420,217,3,72.0,2,2,6
25419,217,15,12.0,7,7,0
25416,217,6,74.0,1,1,3
25415,217,1,28.0,4,4,1
25432,218,3,78.0,2,2,6
25431,218,15,15.0,7,7,0
25428,218,6,84.0,1,1,4
25427,218,1,28.0,4,4,1
25444,219,3,84.0,2,2,6
25443,219,15,15.0,7,7,0
25440,219,6,85.0,1,1,4
25439,219,1,38.0,4,4,2
25456,220,3,98.0,1,1,7
25455,220,15,15.0,7,7,0
25452,220,6,86.0,2,2,4
25451,220,1,44.0,4,4,2
25468,221,3,112.0,1,1,8
25467,221,15,15.0,7,7,0
25464,221,6,86.0,2,2,4
25463,221,1,44.0,4,4,2
25480,222,3,118.0,1,1,8
25479,222,15,16.0,7,7,0
25476,222,6,100.0,2,2,5
25475,222,1,47.0,4,4,2
25492,223,3,123.0,1,1,8
25491,223,15,16.0,7,7,0
25488,223,6,102.0,2,2,5
